
karu		eye
kanohi		face, eye
taringa		ear
ihu		nose, snout
ngutu		lip
upoko		head
ringaringa	hand, arm
arero		tongue
kakī		neck
korokoro	throat
whatīanga	joint (of leg or arm)
tuke		elbow
māngai		mouth
roro		brain, marrow, spongy matter
wairoro		brain
tarakina	spine
tuarā		back
ate		liver
tākihi		kidney
kōpū		womb
makawe		hair (plural)
niho		teeth
poho		chest
puku		belly, stomach
raho		testicles
turi		knee
tou		anus
toto		blood
tūtae		excrement, shit
ure		penis
ū		breast
tenetene	vagina
waewae		foot, leg
