harikoa		(s) be happy
pōuri		(v) to be dark, sad, mournful (n) darkness, sorrow, gloom
pukuriri	(v) to be angry, cross (n) anger, wrath, hostility
whakamā		(v) to be ashamed, shy, bashful, embarrassed
mākoha		(v) to be tranquil, kind, considerate
atawhai		(v) to show kindness to, care for (m) kindly, generous, benevolent
whakaiti	(v) to belittle, disdain, disparage, diminish (m) belittling, demeaning, humiliating
pōrewarewa	(v) to be stupefied, dazed, stupid, dim-witted (a) insane, mad, mentally ill, crazy
tūmatarau	(v) stingy, covetous, miserly, selfish
kaipuku		(v) to be greedy, selfish
kaiapo		(v) to covet, monopolise (m) covetous, avaricious, greedy
ngehe		(v) to be weak, languid, lazy, weary (m) weak, languid
ngākau rorotu	(v) to be optimistic (n) optimism
hākerekere	(v) to be downcast, despondent, depressed, pessimistic (m) gloomy, dark 
